Time,Output
0.000000,1.810264
0.000858,1.812459
0.001266,1.795338
0.001647,1.778650
0.002120,1.762397
0.002444,1.746601
0.002745,1.731514
0.003090,1.716832
0.003548,1.702263
0.004012,1.688529
0.005728,1.675344
0.019776,1.662362
0.025698,1.649948
0.038431,1.695227
0.050115,1.798630
0.056359,1.938038
0.069307,2.147929
0.076156,2.373604
0.088890,2.613766
0.099158,2.844358
0.110766,3.106338
0.115824,3.321438
0.126221,3.471880
0.138582,3.653579
0.149646,3.793099
0.155936,3.853745
0.165994,3.851225
0.178293,3.809392
0.186039,3.730258
0.197009,3.595348
0.205635,3.406003
0.215967,3.202541
0.228268,2.986422
0.235703,2.777150
0.245733,2.593698
0.259481,2.415843
0.265776,2.262832
0.279115,2.153871
0.285977,2.087350
0.296103,2.080999
0.306005,2.153214
0.315673,2.281888
0.325865,2.444750
0.339383,2.641637
0.345504,2.852549
0.358318,3.074173
0.365748,3.250650
0.375902,3.403936
0.388677,3.532099
0.395909,3.617559
0.406692,3.679243
0.417490,3.681341
0.425549,3.645833
0.438195,3.590889
0.445814,3.498680
0.455993,3.370721
0.468460,3.227141
0.475714,3.088053
0.485836,2.953502
0.496847,2.822969
0.506078,2.696484
0.518494,2.574032
0.526069,2.474736
0.536056,2.398019
0.549069,2.323681
0.556051,2.271045
0.566477,2.258581
0.575766,2.286485
0.585734,2.371750
0.598224,2.510185
0.605513,2.627066
0.616103,2.741944
0.629008,2.871285
0.635803,2.977178
0.648378,3.097474
0.656514,3.195649
0.666027,3.253487
0.678086,3.326606
0.685650,3.359064
0.695652,3.352667
0.708964,3.365625
0.715849,3.339438
0.728881,3.294073
0.736235,3.250263
0.745961,3.188513
0.758308,3.128552
0.765793,3.070611
0.776065,2.994979
0.789292,2.921590
0.795731,2.850476
0.808805,2.762112
0.815860,2.676486
0.825758,2.593515
0.838482,2.532651
0.845644,2.473673
0.856180,2.396989
0.869527,2.342150
0.876048,2.308592
0.888197,2.314071
0.895649,2.358763
0.905683,2.403335
0.918748,2.503454
0.925866,2.620281
0.936238,2.714997
0.949966,2.806047
0.956077,2.894345
0.968149,2.998163
0.975716,3.080171
0.985984,3.141570
1.000355,3.200051
1.005676,3.237121
1.015894,3.234032
1.029983,3.231301
1.035850,3.228748
1.048758,3.206208
1.055997,3.165012
1.065813,3.106010
1.078790,3.068188
1.085876,3.012018
1.096336,2.937893
1.106835,2.885761
1.115607,2.815998
1.128237,2.748042
1.135874,2.682192
1.145758,2.599044
1.158628,2.537997
1.165636,2.478842
1.176085,2.421345
1.187081,2.385227
1.195667,2.370055
1.208421,2.393400
1.215933,2.416270
1.225848,2.458677
1.238800,2.518838
1.245713,2.577430
1.258641,2.671980
1.265685,2.744259
1.275941,2.795608
1.288386,2.883807
1.295750,2.950293
1.305862,2.976051
1.318853,3.020470
1.325724,3.063117
1.338939,3.084582
1.345564,3.086356
1.356016,3.068800
1.368688,3.070930
1.375797,3.053570
1.386343,3.017187
1.399596,2.981892
1.406017,2.928629
1.418665,2.895871
1.425959,2.844412
1.435849,2.775692
1.448646,2.728555
1.455775,2.682852
1.466171,2.619113
1.479412,2.557411
1.485930,2.517107
1.498582,2.477868
1.505876,2.439987
1.516129,2.422913
1.528822,2.445051
1.535861,2.466880
1.546191,2.487299
1.559644,2.526723
1.565604,2.565716
1.576955,2.622046
1.585688,2.677093
1.595574,2.711333
1.608679,2.744137
1.616119,2.776300
1.625671,2.826211
1.636768,2.874437
1.645636,2.902578
1.658634,2.927622
1.666100,2.933322
1.676203,2.921287
1.689045,2.908822
1.695650,2.897075
1.705926,2.884896
1.717309,2.873192
1.725687,2.862491
1.738319,2.831964
1.745955,2.783125
1.755981,2.755617
1.768699,2.728505
1.775810,2.682912
1.788019,2.638614
1.796763,2.595703
1.805812,2.554232
1.818373,2.532886
1.825672,2.512720
1.835968,2.493468
1.848702,2.494070
1.855901,2.494810
1.868124,2.514489
1.876601,2.533792
1.886247,2.552481
1.898126,2.589758
1.906098,2.626508
1.916124,2.662492
1.928802,2.697025
1.936049,2.730275
1.948077,2.762046
1.956237,2.773656
1.965940,2.785430
1.978079,2.815867
1.985859,2.825930
1.999563,2.835667
2.009216,2.845028
2.015878,2.834776
2.028434,2.824288
2.036180,2.814511
2.046096,2.805562
2.058944,2.796575
2.065946,2.768444
2.075906,2.721612
2.089380,2.695794
2.096527,2.670632
2.108615,2.646246
2.116518,2.622778
2.126325,2.580462
2.138786,2.558900
2.145726,2.537977
2.156080,2.517688
2.169580,2.517642
2.176122,2.517603
2.188722,2.536989
2.195927,2.555607
2.208006,2.573877
2.218526,2.610889
2.225970,2.627375
2.236316,2.642531
2.250154,2.677136
2.256130,2.692589
2.269123,2.724362
2.275877,2.755644
2.286232,2.748940
2.299019,2.760910
2.305724,2.772558
2.315801,2.783848
2.331100,2.794882
2.335856,2.786546
2.348453,2.777497
2.355804,2.769014
2.366063,2.761689
2.378938,2.754132
2.386309,2.727193
2.396071,2.700619
2.406815,2.694833
2.415565,2.670182
2.428387,2.645271
2.436037,2.621475
2.446220,2.598892
2.459181,2.596272
2.466016,2.574276
2.478248,2.572148
2.486040,2.570180
2.496055,2.549065
2.508380,2.567069
2.515673,2.584759
2.525935,2.582769
2.539343,2.600133
2.545868,2.617028
2.558281,2.632516
2.565662,2.648029
2.575989,2.663779
2.588292,2.697999
2.595629,2.711821
2.605739,2.724992
2.619152,2.737770
2.625890,2.749893
2.638198,2.761737
2.645859,2.754370
2.657738,2.747010
2.668576,2.759193
2.675817,2.751627
2.685882,2.724647
2.699209,2.717811
2.705716,2.711602
2.718588,2.705058
2.725964,2.679251
2.735882,2.654802
2.748400,2.650479
2.755693,2.646416
2.765761,2.622871
2.777319,2.600028
2.785927,2.597257
2.798712,2.594164
2.805638,2.591795
2.816184,2.589842
2.828432,2.587474
2.835734,2.585155
2.845892,2.582848
2.857928,2.599953
2.865774,2.616932
2.878393,2.631572
2.885569,2.646458
2.895790,2.643509
2.908488,2.658992
2.915648,2.673968
2.926045,2.688457
2.937290,2.702485
2.945571,2.716156
2.958174,2.728804
2.965859,2.722124
2.975934,2.716199
2.988645,2.729426
2.996246,2.742199
3.006357,2.734655
3.016012,2.727812
3.025758,2.721540
3.038498,2.714359
3.045997,2.688349
3.056031,2.663771
3.068965,2.659265
3.075826,2.654791
3.088205,2.650173
3.097372,2.626409
3.106107,2.603455
3.118339,2.619353
3.125794,2.615537
3.136083,2.593142
3.149142,2.590721
3.156152,2.588375
3.168479,2.604942
3.176095,2.621410
3.185756,2.618465
3.198410,2.634290
3.205971,2.649912
3.216268,2.645890
3.230458,2.641715
3.235779,2.657483
3.248428,2.672311
3.255705,2.667194
3.266086,2.682201
3.278871,2.715970
3.285820,2.709767
3.296224,2.703436
3.309418,2.716828
3.315832,2.710627
3.328619,2.703869
3.335816,2.698003
3.345723,2.692931
3.358608,2.687318
3.366012,2.681922
3.375829,2.676712
3.389236,2.671738
3.395755,2.666782
3.408417,2.661527
3.416070,2.656961
3.426149,2.653137
3.438501,2.648796
3.445584,2.625050
3.455983,2.601745
3.467626,2.598763
3.476085,2.596156
3.488368,2.612727
3.496393,2.629290
3.505943,2.625625
3.519028,2.622187
3.525799,2.619182
3.536165,2.635067
3.547930,2.650699
3.555703,2.646688
3.568560,2.661471
3.575889,2.676127
3.585812,2.671207
3.598733,2.666291
3.605917,2.681222
3.615960,2.695207
3.627366,2.689606
3.635787,2.684452
3.648110,2.698148
3.656121,2.711734
3.665910,2.705859
3.679450,2.699790
3.686013,2.694148
