Time,Output
0.000000,1.689895
0.001396,1.676450
0.001874,1.682881
0.002213,1.689133
0.002504,1.675766
0.002775,1.682235
0.003061,1.688465
0.003331,1.675097
0.003598,1.681512
0.003894,1.687552
0.010130,1.674257
0.019158,1.680868
0.031741,1.725011
0.039169,1.828150
0.049172,1.988004
0.061617,2.216244
0.068956,2.458228
0.081074,2.675560
0.092537,2.923293
0.099237,3.144653
0.111919,3.317482
0.123138,3.487626
0.129168,3.635655
0.141932,3.735622
0.153546,3.794894
0.159045,3.814841
0.171666,3.812971
0.178991,3.792017
0.189187,3.733179
0.200889,3.656207
0.209077,3.581898
0.220666,3.490591
0.232247,3.382382
0.239034,3.257816
0.250335,3.137111
0.262303,3.039860
0.270047,2.945625
0.280305,2.854310
0.292412,2.765827
0.300279,2.680086
0.310995,2.597004
0.323041,2.516496
0.330908,2.438485
0.341455,2.382158
0.349073,2.327577
0.361183,2.274891
0.371190,2.262526
0.379011,2.250672
0.390848,2.239461
0.402145,2.267451
0.409171,2.314102
0.421354,2.359310
0.432309,2.422533
0.438755,2.483829
0.451330,2.542340
0.462824,2.599624
0.468717,2.655847
0.481412,2.728032
0.493001,2.779625
0.500866,2.811249
0.510894,2.859665
0.518910,2.887546
0.530982,2.894709
0.541349,2.921204
0.548977,2.928952
0.561061,2.935924
0.571944,2.942172
0.580940,2.928693
0.591268,2.915868
0.603085,2.903630
0.611088,2.872132
0.621120,2.841011
0.632854,2.811123
0.640967,2.782676
0.651551,2.754618
0.659671,2.708205
0.670468,2.663372
0.681282,2.619482
0.689162,2.577316
0.700943,2.536647
0.712564,2.496874
0.719072,2.458407
0.731944,2.440582
0.742663,2.423339
0.750622,2.406673
0.761644,2.409933
0.773512,2.413193
0.779171,2.416319
0.791665,2.438036
0.802999,2.459598
0.808961,2.481185
0.822567,2.520624
0.828976,2.539806
0.839314,2.558864
0.852640,2.595697
0.858998,2.612315
0.871143,2.628933
0.881604,2.664330
0.890953,2.698863
0.899207,2.712598
0.911940,2.725954
0.920742,2.738689
0.931285,2.750807
0.942141,2.763041
0.950336,2.754930
0.960957,2.747088
0.974097,2.740461
0.980872,2.733660
0.991332,2.726524
0.998985,2.720083
1.009029,2.714010
1.022053,2.707116
1.028809,2.681375
1.040648,2.656908
1.052137,2.632826
1.058900,2.609649
1.070539,2.587251
1.082781,2.565532
1.090248,2.544448
1.102624,2.523710
1.112871,2.523346
1.118904,2.503807
1.131752,2.503742
1.138887,2.503851
1.150480,2.484789
1.161335,2.503912
1.168822,2.523337
1.180796,2.523862
1.192031,2.542939
1.200152,2.541969
1.211032,2.541077
1.222171,2.559697
1.228657,2.577855
1.241733,2.594804
1.253714,2.592251
1.258743,2.610010
1.272324,2.645300
1.283796,2.660419
1.292984,2.675761
1.299037,2.670527
1.308757,2.665866
1.319068,2.680965
1.330708,2.675364
1.338908,2.670308
1.350186,2.665491
1.362469,2.680412
1.370234,2.675586
1.379845,2.651245
1.391876,2.647362
1.398921,2.643254
1.409006,2.638784
1.422445,2.634901
1.428884,2.631512
1.440994,2.627082
1.452790,2.623543
1.460657,2.620435
1.470988,2.616512
1.478776,2.593971
1.491180,2.591632
1.501182,2.608100
1.508764,2.585553
1.520569,2.564055
1.532445,2.562452
1.539026,2.560910
1.551961,2.559418
1.563467,2.558010
1.570854,2.556556
1.581958,2.554873
1.594070,2.553591
1.601022,2.552676
1.611931,2.569726
1.623670,2.586928
1.630712,2.585454
1.642315,2.602292
1.649507,2.618910
1.660914,2.615628
1.671642,2.632062
1.680827,2.628866
1.691451,2.625392
1.702627,2.641577
1.711465,2.637606
1.721544,2.632074
1.733810,2.628707
1.741939,2.646361
1.751952,2.661322
1.763874,2.656710
1.770886,2.652407
1.782042,2.647625
1.789935,2.643434
1.801438,2.639854
1.812769,2.635470
1.823846,2.631737
1.831057,2.628606
1.842671,2.624970
1.850722,2.621471
1.861749,2.618101
1.873695,2.614889
1.880512,2.611797
1.891129,2.608452
1.904068,2.605531
1.911566,2.602895
1.921893,2.599565
1.930329,2.596916
1.942540,2.594863
1.952076,2.591928
1.964209,2.589473
1.974367,2.590357
1.984442,2.590972
1.993783,2.581744
2.003361,2.572767
2.012275,2.590608
2.021327,2.607391
2.031060,2.604418
2.043820,2.621376
2.051346,2.618045
2.061664,2.614161
2.073178,2.610653
2.080947,2.607816
2.091498,2.623762
2.099666,2.620435
2.111199,2.617687
2.121734,2.633268
2.129161,2.629142
2.141202,2.606300
2.152256,2.622817
2.158896,2.638860
2.171998,2.635042
2.183491,2.631240
2.188982,2.627609
2.201570,2.624009
2.213880,2.620613
2.218914,2.617385
2.233027,2.632984
2.244250,2.648575
2.249049,2.644799
2.261305,2.640259
2.273631,2.636385
2.280855,2.632920
2.291060,2.628736
2.299229,2.625267
2.311220,2.621835
2.322128,2.618401
2.329168,2.615528
2.340422,2.612350
2.353024,2.609258
2.361068,2.606353
2.370836,2.603012
2.382665,2.600262
2.391017,2.616785
2.401002,2.631834
2.409700,2.608714
2.420736,2.606202
2.431347,2.622274
2.439461,2.618914
2.451183,2.616089
2.462381,2.612301
2.472366,2.609304
2.483684,2.606794
2.492458,2.623444
2.499434,2.620283
2.536482,2.713706
2.543837,2.796399
2.548881,2.755545
2.556601,2.737063
2.561087,2.742575
2.567903,2.715153
2.574611,2.683704
2.583629,2.684981
2.589031,2.672553
2.602359,2.667004
2.609183,2.662467
2.619074,2.658575
2.631561,2.653906
2.638974,2.630094
2.650778,2.606786
2.661691,2.603951
2.670141,2.601182
2.680143,2.598058
2.692549,2.575966
2.700853,2.573695
2.711859,2.590745
2.724224,2.569019
2.731248,2.567375
2.741682,2.584582
2.749087,2.582464
2.760648,2.580861
2.772143,2.597431
2.782414,2.594359
2.791067,2.592009
2.802509,2.608890
2.810107,2.605974
2.821755,2.603125
2.833183,2.619839
2.840469,2.636197
2.851504,2.651626
2.862991,2.666643
2.869284,2.661998
2.881980,2.656845
2.893409,2.652336
2.900465,2.668016
2.911069,2.682202
2.922805,2.676864
2.931516,2.671828
2.942160,2.666683
