Time,Output
0.000000,1.703505
0.000261,1.709362
0.000498,1.714971
0.000729,1.700605
0.000957,1.705829
0.001204,1.711402
0.001516,1.697547
0.001750,1.703362
0.001981,1.709064
0.002212,1.695015
0.006191,1.700862
0.017075,1.706566
0.029503,1.712068
0.036350,1.756248
0.046231,1.876401
0.058175,2.052241
0.066249,2.241732
0.079703,2.499638
0.085895,2.733655
0.098368,2.923796
0.108172,3.144957
0.116336,3.358851
0.127732,3.563256
0.140615,3.743983
0.146485,3.842714
0.156977,3.880481
0.165779,3.878611
0.177995,3.797034
0.186320,3.659645
0.196326,3.506815
0.208032,3.320531
0.215808,3.120397
0.227565,2.926895
0.236400,2.739023
0.247479,2.556282
0.259205,2.379820
0.266414,2.247571
0.277676,2.139013
0.288972,2.072680
0.295956,2.086563
0.311492,2.195535
0.319824,2.344769
0.326239,2.490100
0.338126,2.665458
0.346065,2.874845
0.357930,3.092461
0.366053,3.248714
0.376323,3.384210
0.389099,3.512852
0.395900,3.598929
0.407970,3.661281
0.416190,3.664157
0.426421,3.629128
0.440247,3.555647
0.446193,3.426024
0.458026,3.281131
0.466418,3.160127
0.476191,3.042732
0.489832,2.890070
0.496161,2.761571
0.507953,2.656682
0.517580,2.555043
0.526367,2.475837
0.540604,2.399086
0.546318,2.344638
0.558085,2.310983
0.571481,2.298150
0.578292,2.324530
0.588664,2.387895
0.596786,2.470179
0.607321,2.570075
0.619274,2.684909
0.628173,2.815002
0.640776,2.961530
0.646898,3.045606
0.656851,3.107310
0.673625,3.206098
0.678365,3.261685
0.691035,3.295631
0.699514,3.310855
0.708858,3.300832
0.720778,3.294876
0.728418,3.255476
0.738108,3.213314
0.747252,3.172699
0.758744,3.112117
0.771920,3.054666
0.779469,2.980721
0.792428,2.903201
0.808400,2.828083
0.818319,2.740413
0.831001,2.655460
0.836226,2.573141
0.840689,2.493373
0.848037,2.416079
0.856434,2.341180
0.868518,2.287861
0.876321,2.275777
0.886465,2.303169
0.900525,2.368284
0.906821,2.450639
0.918214,2.567735
0.926933,2.702357
0.936664,2.814665
0.950581,2.961412
0.956290,3.064436
0.968805,3.085705
0.978135,3.107592
0.988157,3.164596
1.001339,3.221192
1.012045,3.240461
1.018326,3.255240
1.028309,3.251314
1.036775,3.210077
1.049766,3.187590
1.056521,3.166152
1.066725,3.107040
1.078112,3.049724
1.086641,2.994380
1.101521,2.920990
1.106476,2.850249
1.118001,2.781701
1.130939,2.714891
1.135932,2.650151
1.148710,2.567997
1.156541,2.488389
1.166520,2.411249
1.180466,2.356227
1.186589,2.322300
1.198143,2.307985
1.206903,2.314554
1.216797,2.360383
1.230224,2.481705
1.236631,2.579833
1.248006,2.674159
1.257356,2.805992
1.266450,2.914661
1.278825,3.036781
1.286357,3.117565
1.297924,3.176185
1.308586,3.252773
1.316552,3.289242
1.328822,3.322359
1.336212,3.316071
1.346672,3.291536
1.360006,3.286977
1.366034,3.243491
1.378000,3.181600
1.386416,3.122009
1.396593,3.064434
1.409178,2.988854
1.416400,2.915633
1.428040,2.844682
1.437066,2.756497
1.446519,2.671045
1.461848,2.588243
1.466464,2.508007
1.477258,2.430259
1.489654,2.374451
1.496617,2.320372
1.509696,2.306131
1.516720,2.331904
1.526841,2.357332
1.540073,2.420800
1.546401,2.521192
1.559300,2.673667
1.566580,2.784188
1.576630,2.854999
1.591036,2.961395
1.596212,3.044757
1.608450,3.120736
1.616391,3.199071
1.626433,3.240559
1.639321,3.276540
1.646211,3.291880
1.658048,3.286409
1.666661,3.262002
1.676527,3.219503
1.690162,3.178160
1.696344,3.118577
1.707750,3.060583
1.716680,3.004681
1.726310,2.931188
1.739540,2.859878
1.746657,2.790778
1.757928,2.704264
1.768343,2.640264
1.776289,2.578248
1.791105,2.498323
1.796350,2.420875
1.806439,2.345827
1.860080,2.506364
1.960698,2.759285
2.042945,2.865390
2.055963,2.919308
2.068093,2.959138
2.076366,3.021080
2.083115,3.096526
2.089016,3.182496
2.098911,3.242684
2.106034,3.289047
2.120271,3.325285
2.198799,3.323030
2.205738,3.255363
2.214012,3.187045
2.218770,3.120846
2.229033,3.024100
2.235427,2.930353
2.239668,2.839512
2.248855,2.751487
2.256155,2.666191
2.262374,2.583539
2.269767,2.503449
2.280951,2.425842
2.286557,2.372628
2.291962,2.321063
2.300437,2.306854
2.305509,2.320416
2.312616,2.316149
2.319316,2.359709
2.329878,2.428636
2.335920,2.513130
2.343609,2.611747
2.351079,2.728132
2.355935,2.823411
2.365914,3.003732
2.370198,3.153594
2.379870,3.179343
2.386025,3.268019
2.390227,3.335938
2.398981,3.374031
2.403937,3.378824
2.412324,3.346559
2.416883,3.350832
2.421634,3.355774
2.430160,3.334234
2.435539,3.294735
2.439755,3.256960
2.448704,3.223155
2.453534,3.148735
2.462853,3.092452
2.468438,3.058905
2.477946,2.985072
2.481886,2.917276
2.486975,2.851582
2.495742,2.763183
2.501956,2.698084
2.511542,2.635004
2.516662,2.553319
2.522263,2.474166
2.531179,2.420484
2.536536,2.368466
2.546356,2.328030
2.550833,2.309591
2.557681,2.300839
2.566092,2.331630
2.569764,2.401870
2.578334,2.530634
2.583333,2.642713
2.589505,2.715266
2.596395,2.819359
2.600871,2.903862
2.609141,2.966440
2.615664,3.040684
2.619979,3.110050
2.628419,3.163322
2.633326,3.216192
2.640441,3.283743
2.646119,3.335879
2.650948,3.343572
2.658716,3.323093
2.663384,3.313388
2.667383,3.304029
2.675882,3.285517
2.680831,3.249155
