Time,Output
0.000000,1.413172
0.013492,1.414176
0.025059,1.429172
0.029307,1.447178
0.030290,1.449658
0.032587,1.448165
0.033437,1.450024
0.035137,1.425304
0.038768,1.399991
0.041732,1.405181
0.045927,1.425385
0.046782,1.429512
0.047213,1.440456
0.054833,1.485127
0.067595,1.601974
0.077376,1.777749
0.083914,1.895635
0.093311,2.002995
0.101934,2.136513
0.113512,2.261556
0.128331,2.410924
0.138037,2.535760
0.155253,2.622968
0.165352,2.710751
0.169346,2.798647
0.179615,2.863148
0.193390,2.926628
0.200516,2.993823
0.218681,3.048478
0.227323,3.083975
0.235648,3.111704
0.248425,3.118997
0.262343,3.099025
0.279524,3.100013
0.296540,3.088166
0.304134,3.054579
0.320000,3.007306
0.327229,2.962472
0.337305,2.900865
0.348841,2.833373
0.355143,2.783217
0.363743,2.734832
0.370602,2.672705
0.376479,2.589851
0.386446,2.540181
0.396082,2.492051
0.403224,2.414798
0.413560,2.339939
0.420858,2.267401
0.438058,2.197111
0.446138,2.140813
0.459658,2.105658
0.475616,2.071138
0.484535,2.066687
0.491420,2.069099
0.498373,2.042862
0.508988,2.031204
0.517729,2.034121
0.529112,2.042969
0.534954,2.040198
0.544509,2.061069
0.564650,2.096003
0.568136,2.118973
0.576107,2.152855
0.583699,2.161896
0.591192,2.176113
0.610448,2.241522
0.619583,2.287136
0.625557,2.298559
0.637209,2.328062
0.649022,2.344581
0.661958,2.371154
0.668210,2.406922
0.674726,2.402240
0.689493,2.409262
0.694971,2.433652
0.705161,2.460698
0.713576,2.464395
0.726109,2.453115
0.738124,2.457755
0.749944,2.451848
0.757706,2.449084
0.774188,2.486375
0.784870,2.495271
0.790257,2.479796
0.797818,2.479416
0.805889,2.448718
0.821061,2.436056
0.827039,2.437293
0.836469,2.421556
0.848177,2.396101
0.856298,2.385119
0.867802,2.370434
0.876748,2.332675
0.888778,2.302846
0.893461,2.289567
0.916119,2.290692
0.918501,2.271832
0.936244,2.265165
0.944302,2.270567
0.953135,2.257000
0.959093,2.237134
0.973295,2.222468
0.993380,2.228627
1.005067,2.226012
1.007510,2.204470
1.017872,2.204673
1.035913,2.208169
1.039440,2.215703
1.050210,2.219425
1.077904,2.223182
1.079579,2.241507
1.085192,2.240888
1.098872,2.257019
1.123389,2.266037
1.131058,2.268099
1.134988,2.261239
1.150252,2.275020
1.162631,2.301541
1.170232,2.298772
1.188085,2.303633
1.189751,2.304296
1.199046,2.316190
1.207611,2.337973
1.213450,2.348150
1.220392,2.344432
1.230325,2.337021
1.254611,2.354359
1.255645,2.366680
1.265517,2.351396
1.274693,2.349052
1.286512,2.341931
1.294495,2.345457
1.299728,2.350232
1.307878,2.321257
1.318437,2.325916
1.324912,2.330229
1.337748,2.310268
1.343541,2.323918
1.358240,2.325437
1.365715,2.313395
1.373127,2.315634
1.381283,2.315113
1.394577,2.315190
1.403295,2.300687
1.408620,2.294929
1.417117,2.293439
1.426661,2.270694
1.438346,2.281527
1.445016,2.289855
1.458153,2.265429
1.476918,2.255076
1.485728,2.253628
1.493700,2.259425
1.500203,2.255187
1.512712,2.249034
1.526934,2.246945
1.538117,2.253936
1.556440,2.273129
1.561505,2.282592
1.567362,2.274780
1.578270,2.262518
1.588154,2.269698
1.599388,2.284626
1.603321,2.292072
1.614237,2.279679
1.631160,2.274336
1.646927,2.292399
1.650494,2.298813
1.655805,2.286925
1.664986,2.281280
1.681851,2.272215
1.685958,2.278365
1.690314,2.281102
1.699605,2.290566
1.717626,2.338955
1.726721,2.347490
1.732862,2.323320
1.740354,2.310633
1.756795,2.346506
1.764154,2.372924
1.767608,2.324342
1.778889,2.315863
1.788854,2.343422
1.806007,2.357194
1.813122,2.347828
1.817003,2.318671
1.827106,2.318865
1.833148,2.325531
1.849643,2.341981
1.856899,2.349969
1.864477,2.328282
1.879724,2.327897
1.883494,2.336371
1.888896,2.327877
1.896854,2.319326
1.908059,2.323918
1.915344,2.315722
1.928905,2.313802
1.948722,2.338601
1.955945,2.330581
1.960370,2.309674
1.968851,2.310501
1.974300,2.306201
2.001562,2.288035
2.007926,2.277040
2.009882,2.278267
2.012017,2.278881
2.026700,2.285741
2.040062,2.288501
2.046083,2.273321
2.053936,2.276832
2.069168,2.280876
2.072740,2.284216
2.077615,2.282464
2.086038,2.256634
2.097827,2.256305
2.107988,2.277067
2.124753,2.281866
2.133985,2.269651
2.140374,2.271009
2.155071,2.319514
2.164516,2.334023
2.169955,2.324987
2.177222,2.334652
2.188240,2.329028
2.199201,2.318253
2.205579,2.313324
2.212928,2.308049
2.217666,2.292443
2.228175,2.283810
2.234427,2.283765
2.242642,2.283470
2.248165,2.306704
2.255290,2.320800
2.266000,2.299271
2.294264,2.289369
2.297110,2.304530
2.314644,2.301857
2.318911,2.309121
2.329466,2.322881
2.342885,2.311673
2.349936,2.320569
2.366544,2.338800
2.374964,2.325554
2.383940,2.317385
2.389802,2.324178
2.400955,2.314705
2.410484,2.325631
2.417543,2.319565
2.428823,2.292135
2.434304,2.299734
2.455455,2.322902
2.474643,2.315508
2.503463,2.325928
2.515586,2.336964
2.525123,2.318681
2.544254,2.314961
2.557898,2.310905
2.563000,2.306077
2.573522,2.292055
2.577896,2.284744
2.587428,2.288253
2.596763,2.286551
2.606957,2.278758
2.615628,2.268374
2.626954,2.264374
2.643117,2.256348
2.654324,2.251969
2.666185,2.253157
2.676450,2.254695
2.694141,2.257547
2.698359,2.252524
2.706360,2.250982
2.716159,2.248601
2.727859,2.241282
2.745585,2.252691
2.758310,2.271388
2.770415,2.280020
2.790255,2.275477
2.798546,2.271727
2.805592,2.272784
2.819033,2.290466
2.830587,2.302383
2.846475,2.297319
2.853623,2.312829
2.858488,2.323311
2.880008,2.317471
2.886198,2.327472
2.900527,2.331638
2.905528,2.325807
2.925865,2.344977
2.929468,2.351589
2.937383,2.329102
2.950166,2.326772
2.959491,2.333348
2.978123,2.330592
2.980343,2.326316
2.999451,2.313496
3.008045,2.310840
3.016527,2.312351
3.028665,2.297247
3.034313,2.297822
3.055891,2.313934
3.057507,2.309949
3.067640,2.286512
3.075644,2.289845
3.095606,2.307245
3.099630,2.307729
3.109231,2.299281
3.115745,2.280782
3.128900,2.296185
3.147594,2.323044
3.157873,2.310855
3.163559,2.306908
3.176688,2.307317
3.188750,2.300035
3.196645,2.294437
3.207348,2.300259
3.219584,2.297642
3.235205,2.318543
3.244048,2.330621
3.255119,2.313706
3.272063,2.325177
3.277921,2.326861
3.285981,2.320228
3.305905,2.301167
3.307002,2.295890
3.314825,2.296954
3.325296,2.275532
3.330686,2.281360
3.340309,2.285077
3.350674,2.286622
3.359706,2.302245
3.374396,2.291735
3.389701,2.295815
3.394452,2.309092
3.409196,2.317035
3.425866,2.322720
3.436181,2.306695
3.448590,2.302836
3.456627,2.309739
3.466925,2.321772
3.480408,2.318829
3.492736,2.310378
3.507325,2.307691
3.516325,2.298197
3.527189,2.291948
3.537058,2.300723
3.540765,2.317672
3.550386,2.302449
3.565094,2.298586
3.581102,2.304936
3.588275,2.308312
3.597290,2.308898
3.604021,2.292440
3.617762,2.282975
3.639439,2.337875
3.649748,2.371361
3.684025,2.414201
3.693828,2.451456
3.708179,2.423281
3.716179,2.419488
3.729757,2.419449
3.739735,2.410138
3.751729,2.399610
3.766267,2.387554
3.776313,2.377958
3.785868,2.362665
3.795779,2.328626
3.815981,2.303478
3.824457,2.292623
3.836867,2.285503
3.845653,2.274326
3.858435,2.278520
3.866976,2.266974
3.874733,2.234865
3.890383,2.238852
3.895698,2.252902
3.907517,2.246752
3.913168,2.233440
3.925256,2.231535
3.943898,2.251525
3.953569,2.242931
3.958499,2.231057
3.971657,2.233762
3.981961,2.225239
3.997807,2.225606
4.016076,2.230906
4.034930,2.277905
4.037024,2.332924
4.050927,2.328829
4.074491,2.319967
4.079440,2.329729
4.090215,2.326348
4.100320,2.322440
4.107359,2.310994
4.119057,2.306330
