Time,Output
0.000000,1.407233
0.000334,1.402425
0.000619,1.397823
0.000896,1.393530
0.001211,1.389181
0.001502,1.385190
0.001775,1.381408
0.002079,1.377424
0.002357,1.393136
0.002629,1.408493
0.006464,1.403710
0.016926,1.399129
0.029290,1.414094
0.036579,1.447996
0.048561,1.519330
0.059692,1.628441
0.066587,1.754431
0.078365,1.891896
0.086670,2.027824
0.097873,2.163098
0.109734,2.290884
0.116814,2.394094
0.128191,2.513837
0.136631,2.611793
0.146863,2.687229
0.159250,2.797776
0.167056,2.865980
0.177360,2.893487
0.188821,2.940355
0.197022,2.986713
0.211106,3.030241
0.216674,3.052442
0.230517,3.035745
0.239543,3.019785
0.246925,3.004341
0.259555,3.008461
0.266891,2.993154
0.279006,2.958666
0.287653,2.925271
0.297867,2.873621
0.310056,2.823228
0.317479,2.774643
0.326857,2.727792
0.341978,2.681933
0.346917,2.617974
0.358932,2.555930
0.367576,2.495809
0.376868,2.437924
0.388755,2.381834
0.396661,2.307997
0.406601,2.255899
0.418905,2.205416
0.428361,2.156668
0.438073,2.128731
0.449059,2.082042
0.456943,2.036847
0.468590,2.031979
0.478106,2.027450
0.487102,2.023493
0.498939,2.019515
0.506909,2.015225
0.518890,2.049700
0.526655,2.063801
0.536819,2.077904
0.549948,2.110859
0.557807,2.123436
0.568426,2.154262
0.577657,2.184457
0.587035,2.195153
0.598734,2.224475
0.606626,2.252939
0.617244,2.279047
0.628786,2.305319
0.637428,2.312796
0.649815,2.336499
0.656860,2.361093
0.668044,2.367168
0.679850,2.390806
0.687034,2.414169
0.697753,2.417206
0.710205,2.420122
0.717050,2.403821
0.730702,2.406714
0.736989,2.409563
0.748005,2.393188
0.758723,2.396803
0.766857,2.381182
0.779915,2.365479
0.786636,2.369983
0.797113,2.355191
0.809871,2.340555
0.816518,2.326583
0.828315,2.312809
0.837006,2.299463
0.846644,2.286487
0.859598,2.293253
0.866602,2.280721
0.880448,2.267714
0.888025,2.255347
0.896810,2.224635
0.908185,2.214017
0.916575,2.223497
0.927098,2.213106
0.939644,2.202941
0.946599,2.193251
0.958106,2.183470
0.966672,2.193429
1.707590,2.203501
1.708194,2.174239
1.716622,2.149349
1.720939,2.171139
1.725594,2.193015
1.732565,2.210867
1.737149,2.213237
1.741791,2.215261
1.750075,2.232051
1.754954,2.230128
1.758913,2.227712
1.768077,2.235436
1.774452,2.226013
1.780837,2.216837
1.787249,2.232862
1.791535,2.247674
1.800378,2.292048
1.806567,2.324475
1.814121,2.307450
1.820393,2.292738
1.825611,2.279352
1.832906,2.282533
1.838565,2.296641
1.844643,2.269543
1.852865,2.246133
1.858536,2.256078
1.866881,2.244381
1.871509,2.231496
1.880017,2.234800
1.885848,2.253018
1.890384,2.262132
1.898361,2.266328
1.905174,2.260503
1.908229,2.254204
1.916944,2.262622
1.921736,2.253514
1.928428,2.248461
1.936380,2.271310
1.939187,2.252188
