Time,Output
0.000000,1.260345
0.015918,1.261932
0.018149,1.260461
0.021782,1.277146
0.032448,1.290026
0.039618,1.284585
0.054841,1.281628
0.056891,1.284823
0.068754,1.278517
0.072385,1.268423
0.073769,1.276537
0.074711,1.283072
0.075815,1.287782
0.090629,1.299006
0.113290,1.456263
0.165689,1.660135
0.198869,1.761299
0.208370,1.835611
0.256972,1.934826
0.258951,2.063343
0.279456,2.143185
0.320452,2.246998
0.335060,2.329123
0.366248,2.359728
0.403343,2.437298
0.410102,2.473669
0.427005,2.493644
0.443741,2.526824
0.464643,2.519032
0.481590,2.544217
0.513031,2.562778
0.537231,2.544896
0.548980,2.520387
0.556222,2.489000
0.584411,2.469969
0.602606,2.460313
0.607207,2.434702
0.623431,2.389160
0.638144,2.347201
0.644320,2.306159
0.675432,2.272276
0.687784,2.235153
0.704910,2.188843
0.725953,2.149958
0.744554,2.116669
0.754309,2.076770
0.770536,2.050000
0.789930,2.053798
0.808147,2.043191
0.826427,2.012088
0.854612,2.001581
0.875832,1.995530
0.883852,1.975481
0.899062,1.962646
0.919169,1.968632
0.933447,1.968191
0.943785,1.955207
0.964535,1.955769
0.980352,1.982339
1.019402,2.033996
1.035105,2.059927
1.042805,2.062180
1.058315,2.077032
1.070061,2.077383
1.085161,2.072261
1.096041,2.083178
1.110060,2.094915
1.123806,2.102587
1.144729,2.112000
1.156863,2.123355
1.162895,2.124264
1.182908,2.130255
1.189181,2.148455
1.230175,2.181866
1.237460,2.197267
1.248362,2.189880
1.255923,2.193514
1.277756,2.222443
1.296156,2.252543
1.304286,2.238302
1.332755,2.230128
1.338334,2.227225
1.356935,2.219795
1.359855,2.213433
1.378846,2.204775
1.434191,2.208636
1.440365,2.197971
1.459410,2.177874
1.475365,2.170552
1.506231,2.162684
1.516795,2.142987
1.535789,2.123449
1.537008,2.127970
1.553585,2.131021
1.572929,2.114273
1.588575,2.112633
1.598159,2.109295
1.641026,2.100458
1.655868,2.110158
1.676848,2.109112
1.714746,2.100849
1.737622,2.109283
1.758526,2.111895
1.772514,2.097807
1.785353,2.097246
1.799585,2.111878
1.832804,2.115233
1.837606,2.107213
1.884194,2.104842
1.906696,2.118470
1.925773,2.117285
1.980718,2.113140
2.009337,2.115950
2.022176,2.100578
2.026061,2.086201
2.044092,2.087094
2.069311,2.096767
2.086894,2.101708
2.132055,2.095377
2.151927,2.099546
2.170128,2.100786
2.193200,2.092114
2.205087,2.085824
2.219513,2.085321
2.233119,2.091446
2.257333,2.095354
2.288049,2.100959
2.313110,2.111665
2.384420,2.111339
2.389512,2.104444
2.407925,2.127214
2.428696,2.143735
2.465104,2.122144
2.504877,2.153204
2.542964,2.174055
2.584951,2.163477
2.587138,2.166085
2.605637,2.144263
2.611982,2.143031
2.626144,2.145350
2.676296,2.134227
2.687816,2.129668
2.704937,2.127819
2.753795,2.134550
2.760686,2.135342
2.843738,2.163483
2.854752,2.185501
2.867461,2.158962
2.886462,2.147592
2.904706,2.137777
2.942391,2.143216
2.947975,2.144341
2.955520,2.122840
2.990825,2.112640
3.012942,2.109441
3.032205,2.096269
3.059120,2.103799
3.084752,2.128183
3.111095,2.117510
3.136750,2.120737
3.149361,2.134062
3.172430,2.117272
3.179118,2.097709
3.190794,2.088470
3.232067,2.092796
3.268892,2.099000
3.286035,2.106724
3.305170,2.117738
3.309548,2.102807
3.335297,2.098722
3.355699,2.101347
3.385434,2.100307
3.390093,2.109774
3.406816,2.107369
3.447279,2.109106
3.477189,2.110978
3.519516,2.117026
3.544703,2.127092
3.559005,2.118667
3.577553,2.104907
3.598259,2.104012
3.607188,2.100854
3.632258,2.085564
3.668814,2.090195
3.679051,2.092379
3.706878,2.085808
3.750219,2.112947
3.764742,2.127948
3.790165,2.115119
3.801643,2.098944
3.819533,2.092829
3.828828,2.099691
3.836959,2.106738
3.879338,2.151591
3.903209,2.180237
3.905873,2.148688
3.941422,2.135004
3.954559,2.148850
3.981294,2.148614
3.997245,2.130478
4.011937,2.130148
4.023497,2.132024
4.043973,2.145284
4.058762,2.155306
4.101068,2.132043
4.143353,2.132041
4.151839,2.125119
4.188815,2.107874
4.204196,2.134697
4.217254,2.137178
4.235162,2.115137
4.262942,2.110567
4.282018,2.116109
4.285928,2.112814
4.326475,2.110228
4.333477,2.116747
4.348161,2.108581
4.364622,2.101495
4.393163,2.101656
4.425494,2.105699
4.428006,2.103616
4.437260,2.118279
4.447397,2.129290
4.462238,2.103511
4.484896,2.097980
4.486495,2.112914
4.502583,2.121636
4.514352,2.110315
4.569383,2.146797
4.594215,2.181265
4.618163,2.162393
4.619857,2.149634
4.635367,2.142098
4.653068,2.145231
4.655179,2.137070
4.673032,2.124869
4.688159,2.124629
4.703435,2.139415
4.718145,2.138516
4.738632,2.135860
4.753530,2.142927
4.770471,2.141783
4.785485,2.130134
4.798347,2.112740
4.815927,2.104974
4.834287,2.098815
4.854114,2.093970
4.897676,2.108860
4.917518,2.105913
4.937733,2.091532
4.979770,2.095726
4.998801,2.106993
5.016343,2.107083
5.045664,2.121182
5.074864,2.130432
5.112425,2.132086
5.127808,2.144479
5.138021,2.131752
5.148956,2.111416
5.173707,2.147317
5.196864,2.202853
5.216839,2.192642
5.229072,2.189583
5.249475,2.197200
5.266288,2.182615
5.276099,2.169245
5.285434,2.163724
5.325836,2.188051
5.363635,2.196599
5.367057,2.168443
5.405857,2.159403
5.414493,2.156622
5.434276,2.144527
5.463374,2.138007
5.482443,2.117552
5.498291,2.114723
5.504537,2.112493
5.523409,2.101251
5.579851,2.128768
5.600009,2.138513
5.640016,2.127423
5.657203,2.125233
5.676292,2.110895
5.689107,2.102685
5.698251,2.098076
5.722889,2.083293
5.739773,2.087987
5.767623,2.095605
5.796658,2.090589
5.812792,2.076143
5.832154,2.067996
5.837984,2.074571
5.869479,2.076493
5.891083,2.074027
5.903315,2.076803
5.919267,2.066937
5.929914,2.054905
5.934443,2.059230
5.961506,2.073490
5.968802,2.085172
5.975173,2.087468
6.026297,2.095385
6.043822,2.106341
6.048404,2.133410
6.067560,2.150250
6.085740,2.130487
6.106719,2.122308
6.108430,2.129705
6.125927,2.126048
6.146209,2.113857
6.165056,2.115264
6.185855,2.120087
6.192715,2.118578
6.202641,2.121254
6.235582,2.141874
6.263257,2.169796
6.283123,2.165317
6.306834,2.169485
6.332854,2.172430
6.349051,2.157113
6.366555,2.145862
6.368627,2.143464
6.401581,2.144199
6.418736,2.138002
6.426141,2.129009
6.459527,2.119642
6.481676,2.125627
6.498168,2.120808
6.546494,2.101783
6.555977,2.113932
6.567433,2.115079
6.585126,2.087222
6.599378,2.083565
6.617467,2.093394
6.637445,2.094726
6.646890,2.091457
6.695447,2.104123
6.712896,2.102023
6.747873,2.093886
6.766169,2.117875
6.781396,2.126284
6.787953,2.120926
6.818073,2.112879
6.832525,2.123977
6.850170,2.136142
6.867553,2.125144
6.879412,2.131535
6.906935,2.122025
6.920054,2.106637
6.957857,2.108939
6.963090,2.098602
6.981550,2.096901
7.016491,2.101672
7.033439,2.113138
7.053339,2.125599
7.078167,2.142544
7.125825,2.155501
7.167099,2.140738
7.173622,2.135707
7.194540,2.133877
7.210932,2.130921
7.228277,2.132820
7.235788,2.134246
7.258139,2.119890
7.266822,2.119038
7.273862,2.120792
7.287802,2.100722
7.304001,2.090195
7.342900,2.088702
7.348462,2.097234
7.359173,2.093153
7.390077,2.085632
7.403113,2.091048
7.419555,2.096631
7.461802,2.097757
7.483086,2.093082
7.503082,2.093466
7.518734,2.112072
7.534023,2.125671
7.547002,2.129097
7.566222,2.126520
7.602975,2.118018
7.624931,2.112691
7.635164,2.122917
7.675299,2.141691
7.698332,2.136780
7.716803,2.122222
7.748315,2.142759
7.765682,2.164424
7.783754,2.145358
7.790965,2.139785
7.806264,2.139221
7.822838,2.124731
7.838125,2.128757
7.849147,2.132130
7.910277,2.144867
7.929581,2.156696
7.946645,2.149126
7.988194,2.151483
8.026196,2.144910
8.040977,2.126573
8.067054,2.116306
8.083474,2.114654
8.104707,2.105282
8.126659,2.098786
8.163070,2.105454
8.172301,2.097296
8.215357,2.093386
8.234429,2.103244
8.290929,2.142451
8.306229,2.161778
8.334003,2.134671
8.360641,2.141159
8.381996,2.150028
8.395718,2.143778
8.414865,2.142519
8.434790,2.143672
8.453901,2.148694
8.466280,2.139243
8.507838,2.148425
8.525261,2.162017
8.547635,2.148765
8.614224,2.170369
8.642869,2.177296
8.666334,2.151234
8.683931,2.145737
8.740621,2.157630
8.762473,2.157710
8.775908,2.155448
8.815597,2.178116
8.834332,2.170641
8.840207,2.139056
8.872955,2.133956
8.892410,2.127478
8.896359,2.111294
8.904037,2.101645
8.938983,2.085577
8.964245,2.091006
9.022232,2.098376
9.041790,2.089311
9.048811,2.085633
9.058470,2.074839
9.064407,2.071982
9.083358,2.058428
9.089552,2.048365
9.107213,2.064680
9.116330,2.067554
9.128587,2.075197
9.143558,2.084295
9.164985,2.079571
9.178389,2.081759
9.207181,2.088428
9.209577,2.080883
9.226949,2.077877
9.244782,2.093455
9.257799,2.098459
9.270087,2.102688
9.310808,2.108964
9.328671,2.115423
9.347528,2.115358
9.362044,2.112272
9.371663,2.121842
9.381927,2.130459
9.401330,2.158381
9.415422,2.178526
9.437879,2.154001
9.446765,2.144067
9.463326,2.146721
9.475950,2.134003
9.497658,2.155771
9.514677,2.171046
9.533796,2.160876
9.555289,2.162537
9.559391,2.151811
9.579743,2.139549
9.593744,2.133872
9.614831,2.138763
9.641032,2.148219
9.662863,2.136950
9.666873,2.126826
9.684875,2.132252
9.690325,2.122565
