Time,Output
0.000000,2.002914
0.001633,1.992418
0.005634,1.991852
0.008158,1.983285
0.014733,1.987005
0.019520,1.994286
0.021986,2.000286
0.026822,1.999526
0.034657,1.989221
0.041414,1.988371
0.055625,2.001625
0.057295,2.008034
0.058663,1.998350
0.062159,1.993816
0.086112,1.989305
0.089494,1.986200
0.109078,1.985965
0.125504,1.993591
0.131357,1.987644
0.147230,1.970480
0.175087,1.988980
0.187948,2.011230
0.190886,2.006184
0.211323,2.022395
0.222124,2.025598
0.249519,2.003984
0.257111,2.004014
0.263420,2.007773
0.282684,2.017506
0.308297,2.026030
0.334226,2.036984
0.358017,2.040649
0.366513,2.037403
0.401763,2.043811
0.409378,2.043002
0.431774,2.049014
0.472179,2.068465
0.480287,2.069234
0.502433,2.047675
0.516322,2.035901
0.525705,2.054694
0.545357,2.069277
0.562505,2.062480
0.580336,2.065588
0.590381,2.077490
0.641818,2.076680
0.659260,2.086497
0.682600,2.130815
0.702134,2.145953
0.728576,2.123589
0.740905,2.126203
0.761603,2.145955
0.776914,2.158219
0.794816,2.173773
0.810616,2.176012
0.830059,2.172589
0.850668,2.175407
0.862128,2.180085
0.893080,2.245441
0.919303,2.303174
0.927350,2.288370
0.955513,2.265865
0.965315,2.275471
0.986567,2.299219
1.020356,2.299406
1.021551,2.289278
1.038431,2.269378
1.058990,2.259421
1.078925,2.278362
1.106158,2.300760
1.121851,2.301170
1.142164,2.302455
1.160280,2.297308
1.183929,2.314512
1.190852,2.335382
1.212791,2.323619
1.227591,2.324666
1.236749,2.327635
1.260187,2.338384
1.280493,2.344530
1.299617,2.333235
1.313542,2.319378
1.346950,2.347264
1.356409,2.362020
1.361505,2.336015
1.384858,2.363013
1.409222,2.388286
1.420414,2.379249
1.428327,2.379275
1.437196,2.392600
1.468945,2.420822
1.487569,2.425518
1.501586,2.412787
1.527897,2.410851
1.559359,2.408434
1.579195,2.404512
1.601118,2.405393
1.620873,2.404996
1.642528,2.407110
1.659133,2.407975
1.677045,2.412717
1.691031,2.418130
1.713485,2.406430
1.721595,2.387509
1.730374,2.395274
1.741638,2.402864
1.750996,2.396465
1.787119,2.408820
1.791885,2.412247
1.802218,2.394600
1.807956,2.389362
1.825310,2.401774
1.841311,2.421171
1.850662,2.426911
1.858187,2.417446
1.878190,2.429948
1.897466,2.445657
1.904699,2.446895
1.917272,2.443387
1.925630,2.427317
1.959085,2.432262
1.971127,2.443281
1.993155,2.465254
2.012256,2.490430
2.027197,2.484481
2.035874,2.468104
2.042605,2.461349
2.056313,2.501945
2.081587,2.521707
2.096671,2.505832
2.109362,2.511570
2.127704,2.520524
2.144636,2.524060
2.160626,2.520321
2.168369,2.498005
2.177381,2.492211
2.190201,2.525123
2.209116,2.547197
2.222824,2.535607
2.232738,2.518477
